_id,PK,CCR,AGE,GENDER,RACE,ARRESTTIME,ARRESTLOCATION,OFFENSES,INCIDENTLOCATION,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
11,1974696,16149661,30,F,B,2016-08-11T18:00:00,"7900 Block Aber RD Verona, PA 15147",2701 Simple Assault. / 3304 Criminal Mischief. / 3502 Burglary. / 3503 Criminal Trespass,"600 Block Sickles ST Pittsburgh, PA 15221",East Hills,5,1306,9,2,-79.8824703,40.45147202
12,1974704,16146903,45,M,W,2016-08-07T13:40:00,"300 Block Newett ST Pittsburgh, PA 15210",2701 Simple Assault.,"300 Block Newett ST Pittsburgh, PA 15210",Carrick,3,2901,4,3,-79.99171209,40.39655765
13,1974872,16153543,54,M,W,2016-08-16T20:50:00,"East ST & East Ohio ST Pittsburgh, PA 15212",5507 Obstructing Highways and Passages.,"East ST & East Ohio ST Pittsburgh, PA 15212",East Allegheny,1,2304,1,1,-79.99783935,40.45392477
14,1974578,16144432,27,M,W,2016-08-13T15:43:00,"1300 Block E Carson ST Pittsburgh, PA 15203",3921(a) Theft by Unlawful Taking or Disposition - Movable item,"1000 Block Lessing ST Pittsburgh, PA 15205",Crafton Heights,6,2814,2,5,-80.04968579,40.44391784
15,1975078,16157821,53,M,B,2016-08-22T22:09:00,"400 Block Foreland ST Pittsburgh, PA 15212",5123 Contraband. / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant,"400 Block Foreland ST Pittsburgh, PA 15212",East Allegheny,1,2304,1,1,-80.0019398,40.45413683
16,1975102,16156591,18,M,B,2016-08-21T03:50:00,"2400 Block Toner ST Pittsburgh, PA 15212",903 Criminal Conspiracy. / 3701 Robbery.,"Arch ST & W North AV Pittsburgh, PA 15212",Allegheny Center,1,2204,1,1,-80.00862797,40.45509083
17,1975138,16160913,22,F,W,2016-08-27T02:04:00,"Middle ST & Suismon ST Pittsburgh, PA 15212",5505 Public Drunkenness / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount,"Middle ST & Suismon ST Pittsburgh, PA 15212",East Allegheny,1,2304,1,1,-79.999646,40.45536416
18,1975141,16160953,23,M,B,2016-08-27T03:25:00,"S 17th ST & Muriel ST Pittsburgh, PA 15203",6106 Firearms not to be Carried without a License. / 4303 General Lighting Requirements.,"S 17th ST & Muriel ST Pittsburgh, PA 15203",South Side Flats,3,1702,3,3,-79.98191245,40.43018096
19,1975192,16150754,33,M,W,2016-08-12T21:07:00,"1500 Block Milan AV Pittsburgh, PA 15226",9501 Bench Warrant,"1500 Block Milan AV Pittsburgh, PA 15226",Brookline,6,3206,4,5,-80.00580324,40.39386825
20,1975199,16150776,22,M,B,2016-08-12T20:15:00,"3200 Block Faronia ST Pittsburgh, PA 15204",13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance,"3200 Block Faronia ST Pittsburgh, PA 15204",Sheraden,6,2022,2,5,-80.06635734,40.45160189
21,1975260,16150804,41,M,B,2016-08-16T11:20:00,"1100 Block W North AV Pittsburgh, PA 15233",2701 Simple Assault.,"50 Block S 25th ST Pittsburgh, PA 15203",South Side Flats,3,1609,3,3,-79.96969527,40.42865113
22,1975381,16157283,14,M,W,2016-09-13T10:40:00,"600 Block 1st AV Pittsburgh, PA 15219","903 Criminal Conspiracy. / 2701 Simple Assault. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another","Alter ST & Doolittle ST Pittsburgh, PA 15205",East Carnegie,6,2805,2,5,-80.07481143,40.41497073
23,1975395,16162377,26,F,B,2016-08-29T11:20:00,"600 Block Smithfield ST Pittsburgh, PA 15222",3929 Retail Theft. / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession,"600 Block Smithfield ST Pittsburgh, PA 15222",Golden Triangle/Civic Arena,2,201,6,6,-79.99740551,40.44152525
24,1975398,16163197,22,M,W,2016-08-30T12:50:00,"2000 Block Wharton ST Pittsburgh, PA 15203","3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise","2000 Block Wharton ST Pittsburgh, PA 15203",South Side Flats,3,1702,3,3,-79.97681333,40.43002082
25,1975401,16127119,22,M,B,2016-09-14T17:00:00,"900 Block SCECOND AV Pittsburgh, PA 15219",901 Criminal Attempt / 2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person. / 6106 Firearms not to be Carried without a License.,"6800 Block Thomas ST Pittsburgh, PA 15208",Point Breeze North,4,1405,9,2,-79.90902003,40.45372378
26,1975410,16164279,15,M,B,2016-08-31T21:29:00,"2400 Block N Charles ST Pittsburgh, PA 15214","903 Criminal Conspiracy. / 3702 Robbery of Motor Vehicle. / 4910 Tampering with or Fabricating Physical Evidence. / 5104 Resisting Arrest or Other Law Enforcement. / 6110.1 Possesion of Firearm by Minor / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 6105(c)(9) Persons Not To Possess Use Manuf, Control Firearm","2500 Block N Charles ST Pittsburgh, PA 15214",Perry South,1,2614,6,1,-80.01885858,40.46692217
27,1974645,16118337,18,M,B,2016-08-29T11:14:00,"600 Block 1ST AV Pittsburgh, PA 15219",9015 Failure To Appear/Arrest on Attachment Order,"S 16th ST & E Carson ST Pittsburgh, PA 15203",South Side Flats,3,1702,3,3,-79.98271222,40.4288317
28,1974658,16143061,18,M,B,2016-08-02T13:45:00,"1200 Block Western AV Pittsburgh, PA 15233","2501 Criminal Homicide. / 3925 Receiving Stolen Property. / 4910 Tampering with or Fabricating Physical Evidence. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 6106 Firearms not to be Carried without a License. / 6110.2 Possesion of Firearm with Altered Mfg. Number","1500 Block Arlington AV Pittsburgh, PA 15210",Allentown,3,1803,3,5,-79.98930113,40.41918031
29,1974694,16145933,31,M,B,2016-08-06T00:45:00,"Walter ST & Manton WY Pittsburgh, PA 15210",2702 Aggravated Assault.,"700 Block Proctor WY Pittsburgh, PA 15210",Allentown,3,1803,3,5,-79.99576971,40.42030248
30,1975436,16089206,35,M,W,2016-07-25T08:55:00,"900 Block 2ND AV Pittsburgh, PA 15219",2701 Simple Assault. / 2707 Propulsion of Missiles  / 3304 Criminal Mischief.,"Washington PL & 5th AV Pittsburgh, PA 15219",Golden Triangle/Civic Arena,2,201,6,6,-79.99084692,40.43880171
31,1975438,16122836,30,M,B,2016-07-02T15:51:00,"General Robinson ST W & Tony Dorsett DR Pittsburgh, PA 15212",5505 Public Drunkenness / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,"General Robinson ST & Tony Dorsett DR Pittsburgh, PA 15212",North Shore,1,2205,1,6,-80.01030287,40.44727154
32,1975442,16130817,25,M,B,2016-07-14T16:05:00,"1300 Block Superior AV Pittsburgh, PA 15212",9501 Bench Warrant,"1300 Block Superior AV Pittsburgh, PA 15212",Marshall-Shadeland,1,2704,1,1,-80.02985038,40.46796892
33,1974758,16151002,45,M,B,2016-08-22T10:15:00,"900 Block Second AV Pittsburgh, PA 15219",3929 Retail Theft.,"200 Block Atwood ST Pittsburgh, PA 15213",Central Oakland,4,405,3,3,-79.95688887,40.44042041
34,1974767,16151393,32,M,W,2016-08-13T17:08:00,"Bedford AV & Herron AV Pittsburgh, PA 15219",4303 General Lighting Requirements. / 13(a)(31) Marijuana: Possession Small Amount,"Bedford AV & Herron AV Pittsburgh, PA 15219",Middle Hill,2,501,6,3,-79.9649249,40.45288317
35,1974791,15125202,25,F,W,2016-08-30T09:15:00,"600 Block 1st AV Pittsburgh, PA 15219",3921(a) Theft by Unlawful Taking or Disposition - Movable item,"2700 Block E Carson ST Pittsburgh, PA 15203",South Side Flats,3,1609,3,3,-79.96689241,40.42666614
36,1975457,16164458,21,M,W,2016-09-01T06:17:00,"Smallman ST & 14th ST Pittsburgh, PA 15222",3934 Theft from Vehicle,"Mulberry WY & 14th ST Pittsburgh, PA 15222",Strip District,2,203,7,6,-79.99019085,40.44766989
37,1975458,16164486,31,M,W,2016-09-01T07:32:00,"Federal ST N & E North AV Pittsburgh, PA 15212",9501 Bench Warrant,"Federal ST & E North AV Pittsburgh, PA 15212",Allegheny Center,1,2204,1,1,-80.00663235,40.45544902
38,1975461,16013937,29,M,B,2016-09-21T15:40:00,"900 Block SECOND AV Pittsburgh, PA 15219",3925 Receiving Stolen Property. / 3929 Retail Theft. / 4106 Access Device Fraud,"800 Block Freeport RD Pittsburgh, PA 15215",Lincoln-Lemington-Belmar,5,1201,9,2,-79.89761421,40.48782354
39,1975497,16116633,27,M,B,2016-09-21T14:00:00,"900 Block 2nd AV Pittsburgh, PA 15219",903 Criminal Conspiracy. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance,"Reddour ST & Sampsonia ST Pittsburgh, PA 15212",Central Northside,1,2206,1,1,-80.00833384,40.45749854
40,1975502,16146596,13,M,B,2016-09-13T11:00:00,"600 Block 1st AV Pittsburgh, PA 15219",3502 Burglary.,"1400 Block Lowrie ST Pittsburgh, PA 15212",Troy Hill-Herrs Island,1,2406,1,1,-79.98587703,40.46076942
41,1974804,16154582,19,F,B,2016-08-30T13:27:00,"600 Block 1 st AV Pittsburgh, PA 15203",9093 Indirect Criminal Contempt,"50 Block S 16th ST Pittsburgh, PA 15203",South Side Flats,3,1702,7,6,-79.98782799,40.44901784
42,1974841,16153772,52,M,W,2016-08-17T08:00:00,"1100 Block N St Clair ST Pittsburgh, PA 15206",9093 Indirect Criminal Contempt,"1100 Block N St Clair ST Pittsburgh, PA 15206",Highland Park,5,1102,7,2,-79.92167799,40.4744501
43,1975025,16155685,27,M,W,2016-08-19T20:22:00,Zone 3,3126(a)(1) Indecent assault without consent / 2709.1 Stalking Conduct or Repeatedly Acts Including Follows,Zone 3,,3,,,,,
44,1975096,16115700,40,M,W,2016-09-01T09:30:00,"100 Block S Diamond ST Mercer, PA 16137",3922 Theft by Deception. / 517.8(A1) Home Improvement Fraud,"700 Block Chautauqua CT Pittsburgh, PA 15214",Perry South,1,2614,6,1,-80.01785107,40.46388665
45,1975194,16090046,21,M,B,2016-09-13T21:10:00,"900 Block Second AV Pittsburgh, PA 15208",2701 Simple Assault.,"1200 Block Pineridge ST Pittsburgh, PA 15208",Homewood North,5,1301,9,2,-79.88981017,40.45900202
46,1975206,16161707,16,M,B,2016-09-13T09:15:00,"900 Block Second AV Pittsburgh, PA 15219",903 Criminal Conspiracy. / 2901 Kidnapping. / 3702 Robbery of Motor Vehicle. / 6106 Firearms not to be Carried without a License. / 6110.1 Possesion of Firearm by Minor,"300 Block Mt Pleasant RD Pittsburgh, PA ",Northview Heights,1,2609,1,1,-80.00304348,40.48235135
47,1975268,16161563,22,M,W,2016-09-09T20:45:00,"600 Block 1st AV Pittsburgh, PA 15219","6310.1 Selling Liquor to Minors / 601.04 (c) (2) Loudspeakers, etc 0700-2200 >75dB(c) 2200-0700 >75 dB(c)","300 Block Oakland AV Pittsburgh, PA 15213",Central Oakland,4,405,3,3,-79.95499045,40.43988746
48,1975281,16161285,35,M,W,2016-08-30T21:00:00,"900 Block 2nd AV Pittsburgh, PA 15219",3701 Robbery.,"3700 Block Brighton RD Pittsburgh, PA 15212",Brighton Heights,1,2708,1,1,-80.03519475,40.48324656
49,1975308,16161900,18,M,B,2016-08-28T21:30:00,"1200 Block Western AV Pittsburgh, PA 15233",2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person. / 3701 Robbery.,"4500 Block Friendship AV Pittsburgh, PA 15224",Bloomfield,5,903,7,2,-79.95219916,40.46578525
50,1975317,16155934,20,M,B,2016-08-20T04:30:00,"200 Block Renova ST Pittsburgh, PA 15207",2701 Simple Assault. / 3701 Robbery. / 2709(b) Stalking,"200 Block Renova ST Pittsburgh, PA 15207",Hazelwood,4,1515,5,3,-79.93822561,40.40095544
51,1975372,16094906,28,M,W,2016-09-16T13:20:00,"900 Block First AV Pittsburgh, PA 15219",3921 Theft by Unlawful Taking or Disposition.,"Riverview Park Pittsburgh, PA 15214",Perry North,1,2602,,,,
52,1975519,16168749,17,M,B,2016-09-07T13:38:00,"600 Block 1ST AV PITTSBURGH, PA 15219",5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,"900 Block BRUSHTON AV PITTSBURGH, PA 15208",Homewood North,5,1302,9,2,-79.88801848,40.45552397
53,1974446,14045292,26,M,B,2016-08-22T11:55:00,"600 Block 1ST AV Pittsburgh, PA 15219",2701 Simple Assault. / 2706 Terroristic Threats.,"2500 Block Bedford AV Pittsburgh, PA 15219",Bedford Dwellings,2,509,6,3,-79.97278341,40.45052409
54,1975135,16157080,30,M,B,2016-08-21T21:11:00,"1000 Block Faulkner ST Pittsburgh, PA 15204",3502 Burglary. / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,"1000 Block Tweed ST Pittsburgh, PA 15204",Sheraden,6,2022,2,5,-80.06250335,40.45661461
55,1974953,16151988,45,M,W,2016-08-14T15:38:00,"6200 Block Penn AV Pittsburgh, PA 15206",3929 Retail Theft. / 5104 Resisting Arrest or Other Law Enforcement. / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,"6200 Block Penn AV Pittsburgh, PA 15206",East Liberty,5,1115,8,2,-79.92271679,40.46059432
56,1974512,16145135,19,F,B,2016-08-04T22:15:00,"1300 Block Chartiers AV Pittsburgh, PA 15220",3925 Receiving Stolen Property. / 1501 Drivers Required to be Licensed. / 3734 Driving without Lights to Avoid Identification or Arrest,"1300 Block Chartiers AV Pittsburgh, PA 15220",Elliott,6,2020,2,5,-80.04376167,40.44758823
57,1974514,16145510,,M,B,2016-08-05T12:45:00,"1800 Block Broadway AV Pittsburgh, PA 15216",3304 Criminal Mischief. / 3503 Criminal Trespass / 4914 False Identification to Law Enforcement Authorities / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,"1800 Block Broadway AV Pittsburgh, PA 15216",Beechview,6,1920,4,5,-80.02576677,40.40779483
58,1974709,16149939,21,F,B,2016-08-11T18:12:00,"2300 Block East Hills DR Pittsburgh, PA 15221",4910 Tampering with or Fabricating Physical Evidence. / 1301 Registration and Certificate of Title Required. / 7513 Restriction on Alcoholic Beverages - Open Container / 627.02(b) Possession or Smoking of a Small Amount of Marijuana,"2300 Block East Hills DR Pittsburgh, PA 15221",East Hills,5,1306,9,2,-79.87136146,40.45656464
59,1974770,16151444,36,M,B,2016-08-13T19:06:00,"Smithfield ST & Blvd Of The Allies Pittsburgh, PA 15222",2701 Simple Assault.,"Smithfield ST & Blvd Of The Allies Pittsburgh, PA 15222",Golden Triangle/Civic Arena,2,201,6,6,-80.0001799,40.43777805
60,1975509,16167289,37,F,W,2016-09-23T16:40:00,"900 Block 2ND AV Pittsburgh, PA 15219",3701 Robbery.,"800 Block Suismon ST Pittsburgh, PA 15212",East Allegheny,1,2304,1,1,-79.99735506,40.45581482
61,1975218,16161466,44,F,W,2016-09-09T04:50:00,"900 Block 2nd AV Pittsburgh, PA 15219",9015 Failure To Appear/Arrest on Attachment Order,"Howard ST & E North AV Pittsburgh, PA 15212",Fineview,1,2509,1,1,-79.99923238,40.4568392
62,1975029,16156204,15,F,H,2016-08-31T13:30:00,"600 Block 1st AV Pittsburgh, PA 15203",2707 Propulsion of Missiles  / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,"2600 Block Brownsville RD Pittsburgh, PA 15210",Carrick,3,2901,4,3,-79.97880106,40.38544231
63,1975031,16154937,35,M,B,2016-08-18T20:24:00,"700 Block Johnston AV Pittsburgh, PA 15207","4910 Tampering with or Fabricating Physical Evidence. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 6106 Firearms not to be Carried without a License.","700 Block Johnston AV Pittsburgh, PA 15207",Glen Hazel,4,1504,5,3,-79.93341101,40.40578844
64,1975032,16154937,29,M,B,2016-08-18T20:24:00,"700 Block Johnston AV Pittsburgh, PA 15207","3925 Receiving Stolen Property. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 6106 Firearms not to be Carried without a License. / 6110.2 Possesion of Firearm with Altered Mfg. Number","700 Block Johnston AV Pittsburgh, PA 15207",Glen Hazel,4,1504,5,3,-79.93341101,40.40578844
65,1975034,16033848,23,F,B,2016-09-01T16:00:00,"900 Block 2nd AV Pittsburgh, PA 15219",903 Criminal Conspiracy. / 2701 Simple Assault.,"1100 Block Buente ST Pittsburgh, PA 15212",Spring Hill-City View,1,2620,1,1,-79.99554483,40.46661658
66,1974457,16121966,37,M,W,2016-08-22T18:15:00,Zone 6,3123(a)(3) IDSI with unconscious person / 3123(a)(4) IDSI - drugs or intoxicants,Zone 6,,6,,,,,
67,1974460,16131237,45,M,B,2016-08-22T10:15:00,"900 Block 2ND AV Pittsburgh, PA 15219","903 Criminal Conspiracy. / 3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise","200 Block Atwood ST Pittsburgh, PA 15213",Central Oakland,4,405,3,3,-79.95688887,40.44042041
68,1974505,16145555,25,F,B,2016-08-05T14:15:00,"3200 Block Faronia ST Pittsburgh, PA 15204",907 Possessing Instruments of Crime. / 3304 Criminal Mischief. / 4910 Tampering with or Fabricating Physical Evidence.,"3200 Block Faronia ST Pittsburgh, PA 15204",Sheraden,6,2022,2,5,-80.06635734,40.45160189
69,1974974,16150703,24,F,B,2016-09-06T11:00:00,"600 Block 1st AV Pittsburgh, PA 15219",2701 Simple Assault.,"100 Block Sheffield ST Pittsburgh, PA 15233",Fineview,1,2509,6,1,-80.01979575,40.45410332
70,1974614,16148627,36,F,B,2016-08-16T21:30:00,"600 Block First AV Pittsburgh, PA 15219","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","65 RT & McKees Rocks BRDG Pittsburgh, PA 15212",Marshall-Shadeland,1,2715,1,1,-80.04303594,40.47892402
71,1974623,16130258,57,M,B,2016-08-26T17:16:00,"Market SQ Pittsburgh, PA 15222",9015 Failure To Appear/Arrest on Attachment Order,"100 Block 5th AV Pittsburgh, PA 15222",Golden Triangle/Civic Arena,2,201,6,6,-80.00287326,40.44140616
72,1975063,16157446,22,M,B,2016-08-22T13:30:00,"900 Block Gibson ST Pittsburgh, PA 15220",13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 7512 Criminal Use of Communication,"900 Block Gibson ST Pittsburgh, PA 15220",Elliott,6,2020,2,5,-80.03820991,40.44423898
73,1974834,16153306,25,M,W,2016-08-16T15:20:00,"300 Block Cedar AV Pittsburgh, PA 15212",13(a)(16) Possession of Controlled Substance,"300 Block Cedar AV Pittsburgh, PA 15212",East Allegheny,1,2304,1,1,-80.00084389,40.45089272
74,1975020,16157206,23,M,B,2016-08-22T02:56:00,"Fountain ST & Sandusky ST N Pittsburgh, PA 15212",1543 Driving While Operating Privilege is Suspended or Revoked. / 4303 General Lighting Requirements. / 4703 Operation of Vehicle without Official Certif. of Inspection / 4706 Prohib. on Expend. for Emission Insp Prog.. / 13(a)(31) Marijuana: Possession Small Amount,"Fountain ST & Sandusky ST Pittsburgh, PA 15212",Central Northside,1,2206,6,1,-80.00553337,40.45897216
75,1975021,16157206,22,F,B,2016-08-22T02:56:00,"Fountain ST & Sandusky ST N Pittsburgh, PA 15212",9501 Bench Warrant,"Fountain ST & Sandusky ST Pittsburgh, PA 15212",Central Northside,1,2206,6,1,-80.00553337,40.45897216
76,1975037,16157322,,M,B,2016-08-22T16:40:00,"800 Block N Euclid AV Pittsburgh, PA 15206",3925 Receiving Stolen Property. / 1501 Drivers Required to be Licensed. / 3334 Turning Movements and Required Signals. / 13(a)(32) Paraphernalia - Use or Possession,"5800 Block Centre AV Pittsburgh, PA 15206",East Liberty,5,1115,8,2,-79.93146655,40.45762754
77,1975470,16115249,24,M,B,2016-09-18T20:00:00,"400 Block Ardmore BL Pittsburgh, PA 15221",9501 Bench Warrant,"1800 Block Watson ST Pittsburgh, PA 15219",Bluff,2,103,6,3,-79.98134515,40.43788568
78,1975475,16162261,33,M,W,2016-09-19T17:50:00,"900 Block Second AV Pittsburgh, PA 15219",3925 Receiving Stolen Property.,"2300 Block Brownsville RD Pittsburgh, PA 15210",Carrick,3,2902,4,3,-79.98551986,40.38904931
79,1974540,16146636,27,M,W,2016-08-07T01:10:00,"1500 Block E Carson ST Pittsburgh, PA 15203",5505 Public Drunkenness / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,"1500 Block E Carson ST Pittsburgh, PA 15203",South Side Flats,3,1702,3,3,-79.98330671,40.42868483
80,1974545,16146642,25,M,W,2016-08-09T23:00:00,"600 Block 1st AV Pittsburgh, PA 15219",3736 Reckless Driving / 3802(a)(1) DUI - General Impairment / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16%,"1800 Block Banksville RD Pittsburgh, PA 15216",Beechview,6,1920,2,5,-80.0322774,40.40892293
81,1974561,16146725,48,F,B,2016-08-07T03:37:00,"1000 Block Sheffield ST Pittsburgh, PA 15233",4906 False Reports to Law Enforcement Authorities.,"1000 Block Sheffield ST Pittsburgh, PA 15233",Manchester,1,2107,6,1,-80.01979575,40.45410332
82,1974760,16149328,30,M,W,2016-08-10T21:20:00,"Frankstown AV & East Hills DR Pittsburgh, PA 15221",13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession,"Frankstown AV & East Hills DR Pittsburgh, PA 15221",East Hills,5,1306,9,2,-79.87041082,40.46117979
83,1974769,16151653,42,M,W,2016-08-14T01:01:00,"Silver Lake DR & Washington BL Pittsburgh, PA 15206",9501 Bench Warrant,"Silver Lake DR & Washington BL Pittsburgh, PA 15206",Homewood West,5,1207,9,2,-79.90559538,40.46225948
84,1974775,16151710,19,M,B,2016-08-14T02:15:00,"1000 Block Western AV Pittsburgh, PA 15233",13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount,"1000 Block Western AV NEW KENSINGTON, PA 15068",Outside County,OSC,6699,,,-79.73003325,40.58621354
85,1975090,16154461,26,F,W,2016-08-18T06:03:00,"600 Block Elmbank ST Pittsburgh, PA 15226",13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance,"600 Block Elmbank ST Pittsburgh, PA 15226",Brookline,6,1917,4,5,-80.01608926,40.39948422
86,1974821,16147809,28,M,W,2016-08-08T19:52:00,"2100 Block Brownsville RD Pittsburgh, PA 15210",2701 Simple Assault. / 2705 Recklessy Endangering Another Person. / 3304 Criminal Mischief. / 4304(a)(1) Endangering Welfare of Children.,"2100 Block Brownsville RD Pittsburgh, PA 15210",Carrick,3,2901,4,3,-79.98735091,40.39183252
87,1975081,16156737,28,M,B,2016-08-21T12:38:00,"7500 Block Rosemary RD Pittsburgh, PA 15221",2706 Terroristic Threats. / 3304 Criminal Mischief. / 3502 Burglary.,"7500 Block Rosemary RD Pittsburgh, PA 15221",Point Breeze,4,1406,9,3,-79.89937036,40.44159885
88,1975530,16165929,25,F,W,2016-09-03T04:40:00,"Bigelow SQ Pittsburgh, PA 15219",2701 Simple Assault.,"Bigelow SQ Pittsburgh, PA 15219",Golden Triangle/Civic Arena,2,201,6,6,-79.99440381,40.44078618
89,1975536,16165979,32,M,W,2016-09-03T08:00:00,"100 Block S 13th ST Pittsburgh, PA 15203",13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession,"100 Block S 13th ST Pittsburgh, PA 15203",South Side Flats,3,1702,3,3,-79.98545585,40.42704846
90,1975133,16158630,33,M,W,2016-09-05T17:24:00,"1st AV & Blvd Of The Allies Pittsburgh, PA 15219",3925 Receiving Stolen Property. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3714 Careless Driving,"600 Block S 10th ST Pittsburgh, PA 15203",South Side Flats,3,1702,3,3,-79.98852842,40.4265902
